"시설번호","시설유형코드","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","상세위치","안전센터명","보호틀유무","사용가능여부","설치년도","배관깊이","출수압력","배관지름","관할소방서명","관할소방서전화번호","데이터기준일자","제공기관코드","제공기관명"
"4-1-014","01","경상남도","양산시","48330","경상남도 양산시 상북면 반회서6길 14","경상남도 양산시 상북면 석계리 238-7","35.41504115","129.0589521","동우스포렉스 맞은편","하북안전센터","Y","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-013","01","경상남도","양산시","48330","경상남도 양산시 상북면 상북중앙로 374","경상남도 양산시 상북면 석계리 74-1","35.41634731","129.0621183","벽천프라자","하북안전센터","Y","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"6-2-001","02","경상남도","양산시","48330","경상남도 양산시 덕계10길 5-1","경상남도 양산시 덕계동 724-26","35.37464195","129.1524397","달성다방 앞","평산안전센터","N","Y","2006","1","5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"6-1-052","01","경상남도","양산시","48330","경상남도 양산시 외산1길 7","경상남도 양산시 덕계동 452-15","35.37056509","129.1576892","금강기술산업","평산안전센터","N","Y","2019","1","5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"6-1-051","01","경상남도","양산시","48330","경상남도 양산시 덕계10길 5-1","경상남도 양산시 덕계동 724-26","35.37464195","129.1524397","태성케미칼, 대륙식품 맞은편","평산안전센터","N","Y","2019","1","5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-010","01","경상남도","양산시","48330","경상남도 양산시 상북면 상북중앙로 119","경상남도 양산시 상북면 대석리 642","35.39495333","129.0556104","경남철강㈜철강백화점","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-043","01","경상남도","양산시","48330","경상남도 양산시 상북면 신전길 49","경상남도 양산시 상북면 신전리 186-2","35.43280452","129.0621306","수원김씨제실 뒤","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-042","01","경상남도","양산시","48330","경상남도 양산시 하북면 충렬로 1267","경상남도 양산시 하북면 삼감리 106-1","35.44904096","129.0700937","삼감마을 능인정사입구","하북안전센터","Y","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-041","01","경상남도","양산시","48330","경상남도 양산시 하북면 양산대로 2075","경상남도 양산시 하북면 백록리 1256-4 부산정비사업소","35.4482745688","129.0726863348","타타대우정비사업소","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-040","01","경상남도","양산시","48330","경상남도 양산시 하북면 용연리 내원로 14","경상남도 양산시 하북면 용연리 470-16","35.44628081","129.074375","용연사거리","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-009","01","경상남도","양산시","48330","경상남도 양산시 하북면 신평남부길 101","경상남도 양산시 하북면 순지리 716-1","35.48743523","129.0886312","초원의집 맞은편","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-008","01","경상남도","양산시","48330","경상남도 양산시 하북면 지산로 17","경상남도 양산시 하북면 지산리 7-10","35.49531222","129.0816302","초원탕 지하입구 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-037","01","경상남도","양산시","48330","경상남도 양산시 하북면 월평로 66","경상남도 양산시 상북면 소토리 916-26","35.49552828","129.0834113","갤러리관광호텔 건너편","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-036","01","경상남도","양산시","48330","경상남도 양산시 상북면 가배길 6","경상남도 양산시 상북면 좌삼리 56","35.43269066","129.0516285","좌삼마을회관 앞","하북안전센터","N","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-035","01","경상남도","양산시","48330","경상남도 양산시 상북면 소토로 67","경상남도 양산시 상북면 소토리 720 케스지E.N.G","35.38240207","129.0551899","케스지ENG 앞","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-034","01","경상남도","양산시","48330","경상남도 양산시 상북면 소토로 103","경상남도 양산시 상북면 소토리 110-2","35.38541404","129.0568362","한솔테크 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-033","01","경상남도","양산시","48330","경상남도 양산시 상북면 소토로 54","경상남도 양산시 상북면 소토리 674-3 일광산업","35.38107024","129.0550052","일광산업㈜ 앞","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-032","01","경상남도","양산시","48330","경상남도 양산시 상북면 소토로 117","경상남도 양산시 상북면 소토리 97-7 대영공영","35.3868520429","129.0574021958","㈜ 성원이피에스 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-031","01","경상남도","양산시","48330","경상남도 양산시 상북면 소토로 150","경상남도 양산시 상북면 소토리 52-2","35.38929921","129.0588572","내전마을 버스정류장 앞","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-030","01","경상남도","양산시","48330","경상남도 양산시 상북면 소토로 87","경상남도 양산시 상북면 소토리 117-4 다올테크","35.3840275","129.0560032","다올테크 옆","하북안전센터","N","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-029","01","경상남도","양산시","48330","경상남도 양산시 상북면 수서로 272","경상남도 양산시 상북면 좌삼리 473-4","35.43970081","129.0455463","외석마을 입구","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-028","01","경상남도","양산시","48330","경상남도 양산시 상북면 충렬로 799, 소석2길 3","경상남도 양산시 상북면 소석리 107","35.4112516867","129.0546145375","소석마을회관 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-027","01","경상남도","양산시","48330","경상남도 양산시 하북면 신평강변1길 1","경상남도 양산시 하북면 순지리 752-4","35.48852165","129.0860244","금호정 앞","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-026","01","경상남도","양산시","48330","경상남도 양산시 하북면 충렬로1295","경상남도 양산시 하북면 삼감리 68-1 석산무역","35.45093438","129.0720576","MTB파크 진입로","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
